SV_SV_ID,2
SS_SS_ID,200
AP_NAME,0826416
AP_PRJ_IDENT,2020MM41
AP_REF_NUMBER,02102898032020
AP_CONCESSION_IDENT,2020100071
LI_REQ_DATE,2020-03-20T00:00:00
LI_STATUS,0
AD_MAN_NUMBER,45671
AD_COMPANY,"TELEKOMUNIKASI INDONESIA"
AD_STREET,"GRAHA MERAH PUTIH, JL. GATOT SUBROTO, KAV. 52"
AD_CITY,"MAMPANG PRAPATAN"
AD_COUNTY,"DKI JAKARTA"
AD_ZIP,-
TCS_NAME,"B294  TEGALREJO TES"
TCS_AREA_DESC,"DSN. KRAJAN RT.04 RW.02. DS. TEGALREJO. KEC. TEGALREJO. KAB.MAGELANG. JATENG, MAGELANG, TEGALREJO, JAWA TENGAH"
TCS_STATION_IDENT,0001
TCSC_NAT_S,CP
TCSC_S_CAT,FX
SID_H_NN,0
SID_LONG_DEG,110
SID_LONG_E_W,E
SID_LONG_MIN,16
SID_LONG_SEC,18.99
SID_LAT_DEG,7
SID_LAT_N_S,S
SID_LAT_MIN,27
SID_LAT_SEC,33.5
AD_NAME,"B294  TEGALREJO TES"
AD_STREET,"DSN. KRAJAN RT.04 RW.02. DS. TEGALREJO. KEC. TEGALREJO. KAB.MAGELANG. JATENG"
AD_COUNTRY,INS
AD_CITY,TEGALREJO
AD_DISTRICT,MAGELANG
AD_COUNTY,"JAWA TENGAH"
EQP_EQUIP_NAME,"IPASOLINK 200 KAP. 10-400MBPS FREK. 15GHZ"
EQP_EQUIP_IDENT,E1797203
EQP_EQUIP_PROD,"NIPPON ELECTRIC CO,LTD (NEC)"
EQ_EQUIP_NAME,<TX8121902>
EQ_FREQ_RANGE_MIN,14400000000
EQ_FREQ_RANGE_MAX,15350000000
EQ_RF_BWIDTH,28000000
EQE_EMI,G7WJN
ETX_POW,817.377504010001
ETX_POW_TYPE,I
ETX_EQ_OUTPUT,.22
ETX_MAX_POW_EQUIP,1.52
EAC_AN_H,44
EAC_AN_POL,V
EAC_AN_AZI,243.482864795684
EAC_AN_ELEV,-1.76876591875384
EAC_FEEDING_LOSS,1
EAC_CONNECTOR_LOSS,0
EAC_BRANCH_LOSS,0
EAC_SWITCH_LOSS,0
EAN_NAME,ASL2-145DS_V
EAN_TYPE,PARABOLIC
EAN_CODE_HOR,REV
EAN_GAIN,36.7
EAN_V_BEAMWDTH,2.3
EAN_H_BEAMWDTH,2.3
EAN_MANUFACTURE,"NEC ANTEN"
EAN_COMMENT,25167/SDPPI/2012
EAN_DIAM,.6
EAN_F2BRATIO,64
EAN_FREQ_RANGE_MIN,14500000000
EAN_FREQ_RANGE_MAX,15350000000
EAN_AN_DIR,D
Link,11679587
EFL_FREQ,14501000000
EFL_CHANNEL_SPACE,0
EFL_RF_BWIDTH,28000000
EFL_CHANNEL,L4
EFL_MODE_OP,D
EFL_UPPER_LOWER,L
EFL_FPLAN_EL_NAME,FS_14400-15350_BW28MHz.ML.144.028
EFL_FREQ_IDENT,0007085020
LEQD_CIRC_LEN,3.06
LEQ_RELIAB,99.9
EQP_EQUIP_NAME,"IPASOLINK 200 KAP. 10-400MBPS FREK. 15GHZ"
EQP_EQUIP_IDENT,E1797203
EQP_EQUIP_PROD,"NIPPON ELECTRIC CO,LTD (NEC)"
EQ_EQUIP_NAME,<RX8121901>
EQ_FREQ_RANGE_MIN,14400000000
EQ_FREQ_RANGE_MAX,15350000000
EQ_RF_BWIDTH,0
EQE_EMI,G7WJN
ERX_C_I,20
ERX_C_I_SHORT,40
